{'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l2'}
0.755 (+/-0.031) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l1'}
0.753 (+/-0.027) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l2'}
0.754 (+/-0.029) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.753 (+/-0.022) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l1'}
0.756 (+/-0.028) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l2'}
0.753 (+/-0.023) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.740 (+/-0.021) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l1'}
0.734 (+/-0.020) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'l2'}
0.737 (+/-0.015) for {'loss': 'log', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.732 (+/-0.038) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l1'}
0.730 (+/-0.039) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'l2'}
0.725 (+/-0.035) for {'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet'}
0.647 (+/-0.197) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l1'}
0.602 (+/-0.278) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'l2'}
0.608 (+/-0.216) for {'loss': 'log', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.651 (+/-0.107) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l1'}
0.606 (+/-0.333) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'l2'}
0.626 (+/-0.190) for {'loss': 'hinge', 'alpha': 0.0001, 'penalty': 'elasticnet'}
0.634 (+/-0.216) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l1'}
0.650 (+/-0.172) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'l2'}
0.577 (+/-0.340) for {'loss': 'log', 'alpha': 1e-05, 'penalty': 'elasticnet'}
0.617 (+/-0.207) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l1'}
0.567 (+/-0.318) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'l2'}
0.583 (+/-0.266) for {'loss': 'hinge', 'alpha': 1e-05, 'penalty': 'elasticnet'}
Accuracy: 0.757
F1-score: 0.7567176977469607

{'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l1'}
0.753 (+/-0.025) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l1'}
0.754 (+/-0.031) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'l2'}
0.755 (+/-0.029) for {'loss': 'log', 'alpha': 0.01, 'penalty': 'elasticnet'}
0.761 (+/-0.021) for {'loss': 'hinge', 'alpha': 0.01, 'penalty': 'l1'}
