{'alpha': 0.01, 'loss': 'log', 'penalty': 'l1'}
0.897 (+/-0.009) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l1'}
0.895 (+/-0.016) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l2'}
0.895 (+/-0.016) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'elasticnet'}
0.894 (+/-0.014) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l1'}
0.892 (+/-0.016) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l2'}
0.891 (+/-0.013) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.891 (+/-0.011) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'l1'}
0.890 (+/-0.013) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'l2'}
0.891 (+/-0.011) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'elasticnet'}
0.892 (+/-0.020) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l1'}
0.894 (+/-0.024) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2'}
0.894 (+/-0.024) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.889 (+/-0.018) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'l1'}
0.889 (+/-0.018) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'l2'}
0.889 (+/-0.018) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'elasticnet'}
0.892 (+/-0.008) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1'}
0.887 (+/-0.012) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}
0.891 (+/-0.006) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.876 (+/-0.038) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'l1'}
0.857 (+/-0.048) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'l2'}
0.876 (+/-0.038) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'elasticnet'}
0.871 (+/-0.043) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'l1'}
0.863 (+/-0.029) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'l2'}
0.873 (+/-0.058) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'elasticnet'}
Accuracy: 0.9
F1-score: 0.9002644695351439

{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.887 (+/-0.028) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l1'}
0.891 (+/-0.011) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l2'}
0.891 (+/-0.006) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'elasticnet'}
0.884 (+/-0.012) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l1'}
0.892 (+/-0.019) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l2'}
0.894 (+/-0.016) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.894 (+/-0.031) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'l1'}
0.895 (+/-0.024) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'l2'}
0.892 (+/-0.031) for {'alpha': 0.001, 'loss': 'log', 'penalty': 'elasticnet'}
0.895 (+/-0.010) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l1'}
0.894 (+/-0.031) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2'}
0.897 (+/-0.014) for {'alpha': 0.001, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.855 (+/-0.025) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'l1'}
0.871 (+/-0.043) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'l2'}
0.872 (+/-0.055) for {'alpha': 0.0001, 'loss': 'log', 'penalty': 'elasticnet'}
0.855 (+/-0.019) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1'}
0.875 (+/-0.062) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2'}
0.871 (+/-0.048) for {'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'elasticnet'}
0.852 (+/-0.014) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'l1'}
0.869 (+/-0.042) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'l2'}
0.861 (+/-0.038) for {'alpha': 1e-05, 'loss': 'log', 'penalty': 'elasticnet'}
0.847 (+/-0.009) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'l1'}
0.869 (+/-0.051) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'l2'}
0.854 (+/-0.058) for {'alpha': 1e-05, 'loss': 'hinge', 'penalty': 'elasticnet'}
Accuracy: 0.89
F1-score: 0.8905555555555554

{'alpha': 0.001, 'loss': 'log', 'penalty': 'l2'}
0.945 (+/-0.009) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l1'}
0.965 (+/-0.013) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'l2'}
0.964 (+/-0.009) for {'alpha': 0.01, 'loss': 'log', 'penalty': 'elasticnet'}
0.957 (+/-0.020) for {'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l1'}
