{'penalty': 'elasticnet', 'alpha': 0.001, 'loss': 'log'}
0.729 (+/-0.198) for {'penalty': 'l1', 'alpha': 0.01, 'loss': 'log'}
0.738 (+/-0.220) for {'penalty': 'l2', 'alpha': 0.01, 'loss': 'log'}
0.738 (+/-0.214) for {'penalty': 'elasticnet', 'alpha': 0.01, 'loss': 'log'}
0.730 (+/-0.187) for {'penalty': 'l1', 'alpha': 0.01, 'loss': 'hinge'}
0.746 (+/-0.204) for {'penalty': 'l2', 'alpha': 0.01, 'loss': 'hinge'}
0.745 (+/-0.213) for {'penalty': 'elasticnet', 'alpha': 0.01, 'loss': 'hinge'}
0.768 (+/-0.187) for {'penalty': 'l1', 'alpha': 0.001, 'loss': 'log'}
0.777 (+/-0.218) for {'penalty': 'l2', 'alpha': 0.001, 'loss': 'log'}
0.779 (+/-0.220) for {'penalty': 'elasticnet', 'alpha': 0.001, 'loss': 'log'}
0.750 (+/-0.185) for {'penalty': 'l1', 'alpha': 0.001, 'loss': 'hinge'}
0.775 (+/-0.206) for {'penalty': 'l2', 'alpha': 0.001, 'loss': 'hinge'}
0.771 (+/-0.195) for {'penalty': 'elasticnet', 'alpha': 0.001, 'loss': 'hinge'}
0.757 (+/-0.188) for {'penalty': 'l1', 'alpha': 0.0001, 'loss': 'log'}
0.776 (+/-0.206) for {'penalty': 'l2', 'alpha': 0.0001, 'loss': 'log'}
0.770 (+/-0.198) for {'penalty': 'elasticnet', 'alpha': 0.0001, 'loss': 'log'}
0.758 (+/-0.194) for {'penalty': 'l1', 'alpha': 0.0001, 'loss': 'hinge'}
0.763 (+/-0.192) for {'penalty': 'l2', 'alpha': 0.0001, 'loss': 'hinge'}
0.758 (+/-0.192) for {'penalty': 'elasticnet', 'alpha': 0.0001, 'loss': 'hinge'}
0.749 (+/-0.175) for {'penalty': 'l1', 'alpha': 1e-05, 'loss': 'log'}
0.750 (+/-0.196) for {'penalty': 'l2', 'alpha': 1e-05, 'loss': 'log'}
0.749 (+/-0.188) for {'penalty': 'elasticnet', 'alpha': 1e-05, 'loss': 'log'}
0.747 (+/-0.167) for {'penalty': 'l1', 'alpha': 1e-05, 'loss': 'hinge'}
